tgnID	placename	lat	lon	freq
7013964	Richmond	38.55	-76.55	000012715
2111971	Gordonsville	38.133	-77.817	000000228
2076159	Plymouth	36.867	-76.267	000000276
7002659	Alabama	33.0	-87.0	000000738
7016172	Arkansas	35.0	-93.0	000000350
7007240	Florida	28.0	-82.0	000000462
7007248	Georgia	32.0	-84.0	000002098
7007255	Kentucky	37.0	-85.0	000000902
7007256	Louisiana	31.0	-92.0	000000608
7007522	Mississippi	33.7	-89.35	000000792
7007523	Missouri	38.0	-98.0	000000552
7007709	North Carolina	36.5	-80.0	000001162
7007712	South Carolina	34.0	-80.0	000000680
7007825	Tennessee	36.5	-85.0	000001428
7007826	Texas	30.0	-100.0	000000332
7007919	Virginia	37.0	-80.0	000003892
7017444	Mobile	31.683	-87.967	000001298
2022620	Dalton	35.767	-84.033	000000444
7013331	Atlanta	34.733	-83.617	000001770
7014637	Winston-Salem	36.083	-79.767	000000002
2001494	Forsyth	36.133	-79.767	000000002
2621311	Roanoke River	37.233	-79.8	000000056
7007517	Massachusetts	42.25	-71.167	000000166
7014152	Eutaw	33.833	-87.117	000000008
7014231	Norfolk	37.833	-75.717	000000446
7014345	Roanoke Island	36.867	-75.35	000000026
7014197	New Bern	35.1	-76.967	000000230
7007567	New York	41.7	-74.0	000000072
7002445	England	53.0	-2.0	000001244
2039071	Glasgow	37.983	-85.1	000000016
7008742	Cardiff	52.5	-2.8	000000006
2068345	Cardiff	43.883	-75.867	000000008
1000062	Österreich	47.333	13.333	000000116
1001893	México	19.333	-99.5	000000380
7013962	Washington	39.883	-76.967	000001916
7012149	United States	38.0	-98.0	000007739
7013928	Montgomery	32.367	-85.7	000000230
7007159	Connecticut	42.833	-72.167	000000092
7007252	Indiana	40.0	-86.0	000000214
7007239	Delaware	39.0	-75.333	000000084
7007706	Ohio	40.0	-80.167	000000524
7007710	Pennsylvania	41.833	-76.0	000000396
7007565	New Jersey	40.0	-75.0	000000108
7007251	Illinois	40.0	-89.0	000000208
7007157	California	37.0	-119.0	000000104
7007828	Vermont	44.0	-73.0	000000074
1002178	Bergen	41.933	-73.95	000000006
7013584	Charlotte	35.217	-80.167	000000150
7013949	Raleigh	36.767	-78.367	000000466
2023617	Milledgeville	33.067	-82.783	000000090
2002287	Pocahontas	38.317	-79.967	000000008
2074573	Fairfield	36.533	-75.783	000000002
2002270	Kanawha	38.333	-81.433	000000004
7007253	Iowa	42.0	-93.0	000000090
1125392	Kanawha	38.15	-80.817	000000026
7014664	Tunstall	38.583	-76.9	000000214
7017623	York	38.517	-76.217	000000056
2076487	Salisbury	36.667	-79.533	000000110
1002467	Henrico	38.55	-76.633	000000821
7013582	Charleston	33.767	-79.083	000001344
2002460	America	34.733	-86.75	000000201
7014299	Orange	38.233	-77.9	000000322
2407166	Hunters Mill	39.317	-74.15	000000002
7014160	Fairfax	39.85	-76.65	000000016
2611953	Red River	32.067	-98.917	000000192
2043645	North Shore	30.217	-89.183	000000004
2444045	LaFayette	35.7	-84.733	000000052
2003293	Demopolis	33.517	-87.167	000000102
2002161	Frederick	39.217	-77.75	000000192
1002274	Clark	40.917	-83.233	000000049
2000781	Clark	38.967	-83.85	000000039
2002314	Clark	45.733	-90.367	000000039
2001186	Clark	40.433	-91.283	000000039
2000499	Clark	39.333	-87.2	000000041
2000114	Clark	34.05	-92.833	000000036
2001549	Warren	36.383	-77.9	000000014
7013641	Columbia	34.0	-80.967	000000470
1000003	Europe	56.2	15.017	000000946
7013352	Baltimore	39.283	-76.4	000000816
2111703	Fairfield	38.867	-78.717	000000010
7007516	Maryland	39.0	-76.167	000001184
7014538	Staunton	38.133	-78.933	000000668
2112147	Hanover	38.75	-76.633	000000390
7013943	Fredericksburg	38.3	-76.55	000000560
2002152	Charlotte	37.0	-78.317	000000240
2294949	Drakes Branch	37.65	-82.183	000000048
2120707	Beaver Dam	43.45	-88.167	000000054
2002144	Bedford	37.3	-79.433	000000112
7014404	Petersburg	37.217	-76.6	000003238
2002170	Louisa	38.983	-77.033	000000074
2002181	Powhatan	38.567	-77.083	000000233
2115154	Wytheville	37.933	-80.917	000000100
7005388	República Dominicana	19.0	-70.333	000000010
7016833	Miṣr	27.0	30.0	000000030
1009896	British Isles	54.0	-4.0	000000012
7001242	Africa	2.383	16.067	000000116
7004643	Puerto Rico	18.233	-66.45	000000002
7005380	Cuba	22.5	-80.0	000000017
1000047	Brasil	-10.0	-55.0	000000049
1000074	Ellás	39.0	22.0	000000072
2024102	Rome	34.25	-84.85	000000184
1047611	America	51.433	6.983	000000028
7001181	Ireland	53.333	-8.0	000000164
7002435	Rossija	60.0	47.0	000000180
7014631	Wilmington	34.217	-77.067	000000770
2096511	Port Royal	32.367	-80.317	000000062
7014487	Savannah	32.083	-80.9	000000672
7014076	Goldsboro	35.383	-77.017	000000040
2095395	Branchville	33.25	-80.2	000000012
2040685	Paris	38.2	-83.75	000000022
1000070	France	46.0	2.0	000000646
